GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
39035,49,5750,8,141,,,6,91,30,5130,,,3,500
39037,1,0,,,,,,,,,,,,
39041,1,0,,,,,,,1,0,,,,
39043,1,10,,,,,,,,,,,,
39045,3,200,2,50,,,,,3,200,,,,
39049,48,5490,16,445,2,25,11,355,35,5125,5,90,2,5
39053,2,0,,,,,,,2,0,,,,
39055,1,5,2,0,,,1,0,1,5,,,,
39057,11,600,3,34,,,3,34,10,600,,,,
39059,2,170,,,,,,,1,100,,,,
39061,27,3645,3,1000,,,,,26,3645,2,1000,,
39063,1,0,,,,,,,1,0,,,,
39081,2,55,1,30,,,1,30,2,55,,,,
39083,2,20,2,0,,,,,,,1,0,,
39085,3,150,2,50,,,2,50,3,150,,,,
39087,2,0,,,,,,,2,0,,,,
39089,3,250,1,200,,,,,3,250,1,200,,
39093,6,620,5,0,,,5,0,6,620,,,,
39095,14,840,6,150,,,3,50,8,520,2,0,2,0
39099,7,1220,7,192,,,2,2,6,1210,4,140,,
39101,3,40,,,,,,,1,0,,,,
39103,2,300,1,0,,,,,2,300,,,,
39109,3,290,,,,,,,3,290,,,,
39111,1,0,,,,,,,,,,,,
39113,20,2300,2,0,,,,,18,2300,,,1,0
39119,1,0,,,,,,,,,,,1,0
39121,1,0,,,,,,,1,0,,,,
39133,10,480,,,,,,,10,480,,,,
39137,1,0,,,,,,,1,0,,,,
39139,6,200,3,31,,,,,4,170,,,,
39141,3,153,1,200,,,,,3,153,,,,
39145,2,0,,,,,,,2,0,,,,
39147,1,20,,,,,,,1,20,,,,
39151,9,886,5,95,,,,,8,875,1,0,,
39153,23,2554,2,0,,,1,0,22,2534,,,1,20
39155,3,1300,2,0,,,2,0,3,1300,,,,
39157,3,250,1,200,,,,,3,250,1,200,,
39161,2,70,,,,,,,1,50,,,,
39165,2,250,,,,,,,2,250,,,,
39167,1,100,1,0,,,,,1,100,,,,
